country-code,gcbr-index,zoonotic,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,zoonotic-3.3,lab-leak,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
AFG,52.36309524,51.14285714,57,46,82,90,22,25,36,53.58333333,14,61,14,53,26,95,72,63,100,67,39,39
ALA,50.36309524,41.14285714,62,77,12,26,6,42,63,59.58333333,92,66,27,99,57,23,0,88,57,87,59,60
ALB,46.52380952,34.71428571,34,13,10,40,43,79,24,58.33333333,14,95,11,34,71,75,85,28,95,70,55,67
DZA,38.29166667,19,3,8,6,27,6,12,71,57.58333333,80,80,57,4,63,54,73,85,16,26,68,85
ASM,54.02380952,64.71428571,87,44,53,75,52,42,100,43.33333333,12,11,77,42,11,46,31,45,71,78,47,49
AND,43.67857143,40.85714286,12,22,30,94,39,10,79,46.5,97,37,56,27,66,53,22,58,2,77,10,53
AGO,73.14285714,73.28571429,93,53,98,89,82,64,34,73,75,99,67,68,75,66,86,67,66,73,57,77
AIA,39.92857143,34.85714286,42,15,28,36,15,28,80,45,28,95,17,76,37,43,77,9,70,28,32,28
ATA,54.17261905,56.42857143,73,35,96,70,2,64,55,51.91666667,49,20,57,92,26,74,65,8,99,45,2,86
ATG,48.30952381,51.28571429,74,71,64,50,11,56,33,45.33333333,11,18,42,55,6,33,69,86,37,50,54,83
ARG,46.78571429,38.57142857,49,55,13,41,39,17,56,55,65,30,55,63,42,28,56,94,89,11,59,68
ARM,45.04761905,38.42857143,16,23,45,98,5,82,0,51.66666667,75,18,26,34,84,80,55,97,34,38,50,29
ABW,51.95238095,46.57142857,50,33,40,93,55,21,34,57.33333333,15,88,59,31,65,51,87,97,88,55,7,45
AUS,43.4047619,46.14285714,52,17,65,35,85,35,34,40.66666667,41,45,9,30,38,27,40,40,84,6,62,66
AUT,51.39285714,44.28571429,7,12,89,55,60,56,31,58.5,17,39,70,46,88,79,80,99,48,7,88,41
AZE,47.42857143,47.85714286,48,26,3,96,2,95,65,47,52,43,40,69,56,56,7,77,35,11,68,50
BHS,61.76190476,66.85714286,80,71,12,48,88,85,84,56.66666667,84,1,97,65,18,84,76,11,59,29,68,88
BHR,41.43452381,35.28571429,5,93,15,12,32,10,80,47.58333333,26,38,6,64,81,67,48,66,14,65,33,63
BGD,45.82738095,49.57142857,95,53,80,2,49,26,42,42.08333333,57,41,24,91,49,13,33,59,23,22,13,80
