iso-a3,gcbr-index,zoonotic,zoonotic-risk-burden,zoonotic-mitigating-countermeasures,zoonotic-1.1,zoonotic-1.2,zoonotic-2.1,zoonotic-2.3,zoonotic-3.1,zoonotic-3.2,lab-leak,lab-leak-risk-burden,lab-leak-mitigating-countermeasures,lab-leak-1.1,lab-leak-1.2,lab-leak-1.3,lab-leak-2.1,lab-leak-3.1,lab-leak-3.2,lab-leak-3.3,lab-leak-3.4,lab-leak-3.5,lab-leak-4.1,lab-leak-4.2,lab-leak-5.1
AFG,0.200102368,0.200102368,0.255754476,0.217599741,1,0,25,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0.163934429,0.163934429,0.239393469,0.315209268,0,0,50,0,9,67,0,0,0.313333333,0,0,0,0,20,0,0,100,100,100,0,0
DZA,0.252949927,0.252949927,0.369423132,0.315284006,1,0,0,80,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,0.010295641,0.010295641,0.014208582,0.275392762,0,0,50,0,27,33,0,0,0.066666667,0,0,0,0,0,0,0,100,0,0,0,0
AGO,0.012589015,0.012589015,0.014208582,0.113985137,0,0,25,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0.012077295,0.012077295,0.014208582,0.15,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0.567554152,0.567554152,1.254017547,0.547411316,1,2,50,80,22,67,1.783962188,2.090580689,0.146666667,5,0,7,0,20,0,0,100,100,0,0,0
ARM,0.00540763,0.00540763,0.014208582,0.619410992,0,0,75,100,6,67,0,0,0.67,0,0,0,0,80,100,0,100,100,100,100,25
AUS,0.156024036,0.156024036,0.30856399,0.49435436,0,0,50,60,21,67,6.18488951,12.66530275,0.511666667,18,8,29,7,80,0,50,100,100,100,0,38
AUT,0.286272391,0.286272391,0.662542633,0.567918535,0,1,75,100,19,33,1.497097541,2.180239137,0.313333333,5,0,7,0,20,0,0,100,100,100,0,0
AZE,0.008082624,0.008082624,0.014208582,0.431144923,0,0,50,80,9,33,0,0,0.163333333,0,0,0,0,20,100,0,0,0,50,0,0
BHS,0.009314957,0.009314957,0.014208582,0.344413303,0,0,0,60,11,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,0.012661114,0.012661114,0.014208582,0.108910822,0,0,0,40,4,0,0,0,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
BGD,31.18301097,31.18301097,54.08937198,0.423490977,9,99,50,80,6,33,0.040666088,0.040666088,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0.013978023,0.013978023,0.014208582,0.016226712,0,0,0,0,6,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,50,0,0
BLR,0.006334659,0.006334659,0.014208582,0.554166667,0,0,75,80,0,67,2.060264078,3.00038458,0.313333333,5,13,0,0,20,0,0,100,100,100,0,0
BEL,0.955434649,0.955434649,1.237982385,0.228232436,1,1,25,0,33,33,1.247797864,2.399611277,0.48,5,0,7,1,20,0,0,100,100,100,100,0
BLZ,0.012625274,0.012625274,0.014208582,0.111433244,0,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,0.17749216,0.17749216,0.21312873,0.167206787,0,0,25,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0.093725934,0.093725934,0.184711566,0.492582212,0,0,75,60,29,33,0,0,0.013333333,0,0,0,0,20,0,0,0,0,0,0,0
BOL,0.299812886,0.299812886,0.53098652,0.435366295,0,1,25,80,36,33,0,0,0.3,0,0,0,0,0,0,0,100,100,100,0,0
BIH,0.145496958,0.145496958,0.201193602,0.276831091,0,0,50,20,7,33,0,0,0.166666667,0,0,0,0,0,0,0,0,0,100,0,0
BWA,0.226112065,0.226112065,0.282172914,0.198675512,0,0,50,20,9,0,0.025886448,0.025886448,0,0,0,0,0,0,0,0,0,0,0,0,0
